method,source,hits_at_k,precision_at_k
adamic_adar,1875,4,0.4
adamic_adar,1879,1,0.1
adamic_adar,1885,7,0.7
adamic_adar,1886,1,0.1
adamic_adar,1888,5,0.5
adamic_adar,1891,4,0.4
adamic_adar,1892,1,0.1
adamic_adar,1896,3,0.3
adamic_adar,1899,1,0.1
adamic_adar,1901,1,0.1
adamic_adar,1908,1,0.1
adamic_adar,1912,1,0.1
adamic_adar,1915,2,0.2
adamic_adar,1918,3,0.3
adamic_adar,1919,8,0.8
adamic_adar,1922,6,0.6
adamic_adar,1924,1,0.1
adamic_adar,1925,3,0.3
adamic_adar,1927,1,0.1
adamic_adar,1928,1,0.1
